epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.6061,1.67292,3.20236,1.46254,0.00986,0.91371,0.42583,0.20345,1.56045,3.18151,1.47903,0.00046676,0.00046676,0.00046676
2,53.2952,1.72463,2.43665,1.4954,0.60104,0.2132,0.26269,0.09639,1.84543,3.14841,1.78928,0.000940783,0.000940783,0.000940783
3,67.94,1.72,2.25525,1.53631,0.11435,0.09137,0.05781,0.02111,1.79859,3.38072,2.03101,0.00140523,0.00140523,0.00140523
4,81.3719,1.73161,2.12928,1.51239,0.51705,0.38579,0.34841,0.15778,1.82089,2.42582,1.71543,0.00161749,0.00161749,0.00161749
5,95.51,1.71876,2.0344,1.53414,0.64084,0.43147,0.51637,0.22223,1.85687,2.22433,1.83781,0.00160099,0.00160099,0.00160099
6,109.177,1.68201,1.95554,1.51066,0.55851,0.50254,0.4901,0.2014,1.88626,3.32918,1.94169,0.00158448,0.00158448,0.00158448
7,122.789,1.70466,1.83649,1.54669,0.58021,0.46701,0.4739,0.20913,1.92809,3.00032,1.86796,0.00156798,0.00156798,0.00156798
8,136.699,1.65853,1.77855,1.50308,0.53724,0.5304,0.49932,0.21834,1.88547,2.14219,1.76032,0.00155148,0.00155148,0.00155148
9,149.525,1.63791,1.70003,1.4757,0.57113,0.39594,0.4372,0.18336,1.99981,2.04889,1.89794,0.00153497,0.00153497,0.00153497
10,163.844,1.61413,1.60969,1.45807,0.69933,0.4467,0.58209,0.26214,1.80977,1.70711,1.65627,0.00151847,0.00151847,0.00151847
11,176.926,1.60229,1.55691,1.45178,0.63874,0.5736,0.6086,0.28786,1.79766,1.72177,1.60416,0.00150197,0.00150197,0.00150197
12,189.851,1.61437,1.54134,1.47746,0.66454,0.6134,0.65982,0.33468,1.66372,1.84139,1.60933,0.00148546,0.00148546,0.00148546
13,202.649,1.55464,1.47467,1.42673,0.64883,0.66497,0.65929,0.30529,1.78121,1.64068,1.66993,0.00146896,0.00146896,0.00146896
14,215.314,1.54093,1.39024,1.44582,0.58146,0.68528,0.62755,0.31245,1.69858,1.70317,1.61403,0.00145246,0.00145246,0.00145246
15,228.228,1.53931,1.3226,1.39463,0.5791,0.66497,0.62262,0.29444,1.79441,1.66043,1.60405,0.00143595,0.00143595,0.00143595
16,241.019,1.50368,1.27589,1.38738,0.68123,0.70511,0.7138,0.37113,1.6416,1.34382,1.50211,0.00141945,0.00141945,0.00141945
17,253.798,1.4941,1.28643,1.40123,0.67034,0.66061,0.6374,0.31779,1.74572,1.41098,1.58646,0.00140295,0.00140295,0.00140295
18,266.65,1.51025,1.28858,1.41297,0.5483,0.63959,0.56428,0.26477,1.80524,1.87885,1.66291,0.00138644,0.00138644,0.00138644
19,279.631,1.45537,1.26602,1.36364,0.74052,0.66497,0.72251,0.37919,1.60184,1.33751,1.54843,0.00136994,0.00136994,0.00136994
20,292.568,1.44156,1.22173,1.36372,0.61998,0.61421,0.61244,0.30331,1.73331,1.90918,1.62146,0.00135344,0.00135344,0.00135344
21,305.344,1.47977,1.21008,1.37851,0.61723,0.70394,0.68451,0.34862,1.63581,1.52543,1.57453,0.00133693,0.00133693,0.00133693
22,318.006,1.50058,1.15871,1.38618,0.7652,0.64975,0.72251,0.34816,1.70155,1.29836,1.57003,0.00132043,0.00132043,0.00132043
23,330.824,1.43835,1.13299,1.34061,0.67216,0.77665,0.73704,0.38814,1.60335,1.2135,1.50551,0.00130393,0.00130393,0.00130393
24,343.894,1.41771,1.12046,1.34317,0.72921,0.75635,0.74299,0.3887,1.64363,1.24084,1.51352,0.00128742,0.00128742,0.00128742
25,357.053,1.38648,1.12706,1.31804,0.71618,0.65328,0.69864,0.35738,1.72206,1.33156,1.59804,0.00127092,0.00127092,0.00127092
26,369.907,1.38311,1.08315,1.33119,0.67133,0.73096,0.68266,0.33236,1.80962,1.25288,1.66674,0.00125442,0.00125442,0.00125442
27,382.685,1.36717,1.07306,1.29598,0.67718,0.7868,0.75486,0.39369,1.67806,1.18381,1.53674,0.00123791,0.00123791,0.00123791
28,395.566,1.40631,1.10279,1.32926,0.74327,0.74112,0.77617,0.40232,1.6857,1.19467,1.53702,0.00122141,0.00122141,0.00122141
29,408.708,1.3872,1.04232,1.3044,0.78061,0.71066,0.76531,0.41429,1.64034,1.16418,1.54683,0.00120491,0.00120491,0.00120491
